Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo municipioINE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;Nº Registro;Entidad Titular;Entidad Gestora;Naturaleza;email;Web;Sector;Tipo;Subtipo;Plazas;Latitud;Longitud;Director;Posicion
RESIDENCIA DE PERSONAS MAYORES DE ARANDA DE DUERO (VIRGEN DE LAS VIÑAS);2025-06-23;AVENIDA ORFEON ARANDINO 10;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - ALLENDEDUERO;947 546030;;090704;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;VITALIA HOME S.L.U.;ADMINISTRACIÓN AUTONÓMICA;notificaciones@araliaservicios.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 96;41.6692769226784;-3.6789777087738518;NOEMÍ MARTÍNEZ RODRÍGUEZ;41.6692769226784, -3.6789777087738518
UNIDAD DE ESTANCIAS DIURNAS DE LA RESIDENCIA DE ARANDA DE DUERO (VIRGEN DE LAS VIÑAS);2025-06-23;AVENIDA ORFEON ARANDINO 10;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - ALLENDEDUERO;902 370007;;090705;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;VITALIA HOME S.L.U.;ADMINISTRACIÓN AUTONÓMICA;notificaciones@araliaservicios.es;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 48;41.6692769226784;-3.6789777087738518;NOEMÍ MARTÍNEZ RODRÍGUEZ;41.6692769226784, -3.6789777087738518
CLUB DE JUBILADOS STA. CATALINA;2020-10-14;AVENIDA BURGOS 22- 12º B;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - CENTRO;947 503152;;090017;ASOCIACIÓN DE JUBILADOS Y PENSIONISTAS SANTA CATALINA;;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;41.669165;-3.6791813;;41.669165, -3.6791813
RESIDENCIA VIRGEN DE LAS VIÑAS;2026-03-14;CALLE SAN FRANCISCO  Nº 69;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - CENTRO;947 505550;;090131;ASOCIACIÓN  PARA AYUDA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASADEMA);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 54;41.6788351;-3.6852689;ROSA MARÍA FIGUERO COB;41.6788351, -3.6852689
VIVIENDA TUTELADA SALVADOR DALI;2024-05-15;CALLE SALVADOR DALI 3 1º A;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - ALLENDEDUERO;947 509233;947 509233;090150;ASOCIACIÓN  PARA AYUDA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASADEMA);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 6;;;ALEJANDRA LÓPEZ MARTÍN;
VIVIENDA MENCÍA GONZÁLEZ B;2024-04-15;CALLE MENCIA GONZALEZ 3 1º B;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - ALLENDEDUERO;947 509234;947 509233;091235;ASOCIACIÓN  PARA AYUDA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASADEMA);;ASOCIACIÓN;info@asadema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 4;;;ROSA MARIA FIGUERO COB;
CENTRO DE DIA RÍO DUERO;2026-03-14;AVENIDA ORFEON ARANDINO S/N  ESQUINA C/ GOYA, S/N;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - ALLENDEDUERO;947 509234;947 509233;090726;ASOCIACIÓN  PARA AYUDA DE PERSONAS CON DISCAPACIDAD INTELECTUAL (ASADEMA);;ASOCIACIÓN;asadema@terra.es;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 60;41.658846;-3.6871428;ALEJANDRA LOPEZ MARTIN;41.658846, -3.6871428
VIVIENDA EN ARANDA DE DUERO PARA PERSONAS CON AUTISMO;2023-05-22;CARRETERA ESTACION 11 1º B;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - ALLENDEDUERO;947 461243;;091340;ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO;;ASOCIACIÓN;autismoburgos@autismoburgos.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del espectro del autismo;OTROS: 2;41.6686618;-3.6903307;JAVIER HERRERO ARAUZO;41.6686618, -3.6903307
VIVIENDA SUPERVISADA MENTA;2024-05-15;AVENIDA CASTILLA 67 6º A;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - ALLENDEDUERO;947 546080;;091282;ASOCIACION SALUD MENTAL ARANDA;;ASOCIACIÓN;notificaciones@saludmentalaranda.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;41.6612943;-3.691094;EVA MARIA FERNANDEZ AYLAGAS;41.6612943, -3.691094
VIVIENDA SUPERVISADA LAVANDA;2025-12-14;CALLE SAN FRANCISCO;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - CENTRO;947 546080;;091570;ASOCIACION SALUD MENTAL ARANDA;;ASOCIACIÓN;notificaciones@saludmentalaranda.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;DISCAPACIDAD ENFERMEDAD MENTAL: 3;41.6784197;-3.6852063;EVA MARIA FERNANDEZ AYLAGAS;41.6784197, -3.6852063
VIVIENDA SUPERVISADA AMAPOLA;2025-12-14;CALLE SANTA ANA 7 BAJO A;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - CENTRO;947 546080;;090715;ASOCIACION SALUD MENTAL ARANDA;;ASOCIACIÓN;notificaciones@saludmentalaranda.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;41.67120000000001;-3.69014;EVA MARIA FERNANDEZ AYLAGAS;41.67120000000001, -3.69014
"RESIDENCIA DE PERSONAS MAYORES ""CIUDAD DE ARANDA""";2024-11-11;CARRETERA SINOVAS 0,600;09;09018;BURGOS;ARANDA DE DUERO;09400;ARANDA DE DUERO - CENTRO;947 514095;;090578;PROMOCIONES INMOBILIARIAS FUTURPALENCIA S.L.;;SOCIEDADES;;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 69;41.6767486;-3.6845358;ESTHER PATRICIO AGUDO;41.6767486, -3.6845358
DRIADA MALVA;2017-06-02;CALLE  ABADIA DE FONCEA, 18;09;09026;BURGOS;ARLANZON;09199;BURGOS RURAL - NORTE;627 429104;;090784;DRIADA SALUD MENTAL, SL;;SOCIEDADES;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 6;42.3227938;-3.4580391;ANA MARIA DE JUAN CAMARA;42.3227938, -3.4580391
RESIDENCIA DE PERSONAS MAYORES SAN LAZARO;2024-05-31;AVENIDA BURGOS , 38;09;09048;BURGOS;BELORADO;09250;BELORADO;947 580628;947 660727836;090095;FUNDACIÓN SAN LÁZARO;;FUNDACIÓN;belolazaro@hotmail.com;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;VÁLIDOS: 16, ASISTIDOS: 43;42.4178465;-3.1997112;MARÍA TERESA ALONSO BOLINAGA;42.4178465, -3.1997112
CENTRO OCUPACIONAL DE BRIVIESCA;2025-05-14;CALLE DUQUE DE FRIAS 9- BAJO;09;09056;BURGOS;BRIVIESCA;09240;BRIVIESCA - OÑA;947 592858;;090128;AYUNTAMIENTO DE BRIVIESCA;;ADMINISTRACIÓN LOCAL;besoju@gmail.com;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 30;42.5499565;-3.3220945;BEATRIZ CONTRERAS MILLA;42.5499565, -3.3220945
RESIDENCIA DE PERSONAS MAYORES LA MILAGROSA;2025-12-12;AVENIDA PRINCIPE DE ASTURIAS 6;09;09056;BURGOS;BRIVIESCA;09240;BRIVIESCA - OÑA;947 590013;947 681389768;090291;FUNDACIÓN CASA ASILO DE POBRES O CASA DE BENEFICENCIA;;FUNDACIÓN;direccion@residencialamilagrosabriviesca.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 92;42.5499218;-3.3211187;IRIS LOPEZ SANCHEZ;42.5499218, -3.3211187
CENTRO OCUPACIONAL PARA PERSONAS CON DISCAPACIDAD INTELECTUAL EL CID;2024-10-04;CARRETERA POZA 22, CENTRO OCUPACIONAL EL CID;09;09059;BURGOS;BURGOS;09007;BURGOS - GAMONAL I - LAS TORRES;947 484412;;090076;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 175;42.3562073;-3.6624847;JESUS HUERTOS DE LA FUENTE;42.3562073, -3.6624847
CENTRO DE DIA PARA PERSONAS MAYORES BURGOS I (ENRIQUE OCIO COSTALES);2024-10-04;CALLE CARMEN 4BAJO;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO Y SAN FELICES;947 205084;;090070;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;;;FRANCISCO JAVIER MARTINEZ CUBILLO;
PISO TUTELADO PARA PERSONAS CON DISCAPACIDAD INTELECTUAL EL CID  2;2024-10-04;AVENIDA CASTILLA Y LEON 19- 2º C;09;09059;BURGOS;BURGOS;09006;BURGOS - RÍO VENA;947 217382;;090402;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 6;42.3520754;-3.6826941;JESÚS HUERTOS DE LA FUENTE;42.3520754, -3.6826941
CENTRO RESIDENCIAL DE ATENCIÓN PARA PERSONAS CON DISCAPACIDAD INTELECTUAL  EL CID;2024-10-04;CARRETERA POZA 22;09;09059;BURGOS;BURGOS;09007;BURGOS - GAMONAL I - LAS TORRES;947 484412;;090697;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 59;42.3569478;-3.6624031;JESÚS HUERTOS DE LA FUENTE;42.3569478, -3.6624031
CENTRO DE DÍA PARA PERSONAS CON DISCAPACIDAD INTELECTUAL (FUENTES BLANCAS);2023-11-09;PARAJE FUENTES BLANCAS S/N;09;09059;BURGOS;BURGOS;09193;BURGOS - SAN JULIÁN;947 485900;;090589;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 138;;;ANTONIO SOLANA FERNANDEZ;
VIVIENDA CALLE SORBONA (VIVIENDA INTRAS III);2024-10-02;CALLE SORBONA 1;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO DE LA FUENTE;947 468157;947 608421306;091518;FUNDACION INTRAS;;FUNDACIÓN;resjd.burgos@intras.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;VÁLIDOS: 3;42.34267;-3.73035;CAROLINA ELENA ELENA;42.34267, -3.73035
DOCTORA FELISA FUNDACIÓN INTRAS I;2024-10-02;CALLE DOCTORA FELISA MARTINEZ RUIZ 6 2º D;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO Y SAN FELICES;;608421306;091515;FUNDACION INTRAS;;FUNDACIÓN;resjd.burgos@intras.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 3;;;CAROLINA ELENA ELENA;
VIVIENDA CENTRO RESIDENCIAL BURGOS;2024-10-02;CALLE ZAMORA 6 2º B;09;09059;BURGOS;BURGOS;09003;BURGOS - SAN PEDRO DE LA FUENTE;947 468157;947 608421306;091136;FUNDACION INTRAS;;FUNDACIÓN;resjd.burgos@intras.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;42.3423147;-3.7184021;CAROLINA ELENA ELENA;42.3423147, -3.7184021
VIVIENDA APOYADA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL;2023-05-05;CALLE MODESTO CIRUELOS 4 2º C;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO DE LA FUENTE;947 223916;;090598;ASOCIACIÓN PROSALUD MENTAL DE BURGOS (PROSAME);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;;;María Santamaría Pardo;
CENTRO OCUPACIONAL LAS TORRES;2022-03-09;CALLE SEVERO OCHOA, 51 BAJO;09;09059;BURGOS;BURGOS;09006;BURGOS - GAMONAL I - LAS TORRES;947 223916;;090739;ASOCIACIÓN PROSALUD MENTAL DE BURGOS (PROSAME);;ASOCIACIÓN;info@prosame.es;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por enfermedad mental;OTROS: 30;42.352948;-3.6768828;Mª Concepción Martín Antolín;42.352948, -3.6768828
VIVIENDA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL EL CID;2023-05-12;AVENIDA DEL CID CAMPEADOR 114;09;09059;BURGOS;BURGOS;09006;BURGOS - CENTRO - VADILLOS;947 223916;;091513;ASOCIACIÓN PROSALUD MENTAL DE BURGOS (PROSAME);;ASOCIACIÓN;direccion@saludmentalburgos.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;42.3539191;-3.6920219;MARIA SANTAMARIA PARDO;42.3539191, -3.6920219
CENTRO DE DÍA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL JUAN DE PADILLA;2023-10-19;CALLE JUAN DE PADILLA 14;09;09059;BURGOS;BURGOS;09006;BURGOS - RÍO VENA;947 223916;;091514;ASOCIACIÓN PROSALUD MENTAL DE BURGOS (PROSAME);;ASOCIACIÓN;direccion@saludmentalburgos.org;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por enfermedad mental;OTROS: 15;42.3523189;-3.6835312;MARIA CONCEPCION MARTIN ANTOLIN;42.3523189, -3.6835312
VIVIENDA SUPERVISADA ARLÉS II;2023-09-15;CALLE ARLES 2 5º A;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO Y SAN FELICES;947 223916;;091161;ASOCIACIÓN PROSALUD MENTAL DE BURGOS (PROSAME);;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 3;42.3396464;-3.7316576;María Santamaría Pardo;42.3396464, -3.7316576
VIVIENDA SUPERVISADA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL;2023-01-25;CALLE ARLES 2 5º B;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO Y SAN FELICES;947 223916;;091114;ASOCIACIÓN PROSALUD MENTAL DE BURGOS (PROSAME);;ASOCIACIÓN;direccion@prosame.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 3;;;María Santamaría Pardo;
CENTRO OCUPACIONAL VELA ZANETTI;2022-03-09;CALLE VELA ZANETTI 3;09;09059;BURGOS;BURGOS;09007;BURGOS - GAMONAL I - LAS TORRES;947 401448;947 223916;090643;ASOCIACIÓN PROSALUD MENTAL DE BURGOS (PROSAME);;ASOCIACIÓN;info@prosame.es;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por enfermedad mental;OTROS: 30;42.364504;-3.6571655;Mª Concepción Martín Antolín;42.364504, -3.6571655
CENTRO OCUPACIONAL PRELABORAL ESTELA;2025-02-13;PASEO PISONES 49;09;09059;BURGOS;BURGOS;09001;BURGOS - CENTRO - VADILLOS;947 209402;;090747;ASOCIACIÓN PROVINCIAL SÍNDROME DE DOWN DE BURGOS;;ASOCIACIÓN;sdowburgos@hotmail.com;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;DISCAPACIDAD INTELECTUAL: 50;42.3311065;-3.6982584;LORENA MARTIN DE LA FUENTE;42.3311065, -3.6982584
LA CASA DEL CEREZO;2023-06-15;AVENIDA COSTA RICA 56;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO DE LA FUENTE;947 200756;;090050;ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del espectro del autismo;OTROS: 17;42.348929;-3.733214899999999;MARIA JESÚS RUBIO HORTA;42.348929, -3.733214899999999
"VIVIENDA PARA PERSONAS CON AUTISMO ""EL OLIVO II""";2023-11-15;CALLE NAJERA 1-3;09;09059;BURGOS;BURGOS;09001;BURGOS - SAN PEDRO Y SAN FELICES;947 461243;947 461245;090692;ASOCIACIÓN DE PADRES DE PERSONAS CON AUTISMO;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del espectro del autismo;OTROS: 6;42.34189;-3.73455;PATRICIA NAVAZO GOMEZ;42.34189, -3.73455
PISO TUTELADO SAN JUAN DE LAGOS;2023-06-15;CALLE SAN JUAN 10- 2º A Y B;09;09059;BURGOS;BURGOS;09006;BURGOS - RÍO VENA;947 239011;947 484303;090120;ASOCIACIÓN PADRES Y TUTORES DEL CENTRO OCUPACIONAL EL CID DE BURGOS (APACID);;ASOCIACIÓN;apacid@apacid.com;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con disc. física, sensorial, por trastorno del desarrollo intelectual y/o por enfer. mental;OTROS: 8;;;MARIA CARMEN CARO RODRIGO;
CENTRO DE DIA  AFABUR;2024-02-26;CALLE LOUDUM 10- BAJO;09;09059;BURGOS;BURGOS;09006;BURGOS - RÍO VENA;947 239809;947 608974885;090138;ASOCIACIÓN DE FAMILIARES DE ENFERMOS DE ALZHEIMER (AFABUR);;ASOCIACIÓN;alzheimerburgos@alzheimerburgos.com;;PERSONAS MAYORES;Centro de día;Estancias diurnas para enfermos de Alzheimer;ASISTIDOS: 50;42.3567788;-3.681062799999999;RAQUEL MORENO FUENTES;42.3567788, -3.681062799999999
RESIDENCIA CALZADAS;2025-03-14;PLAZA BILBAO Nº 5;09;09059;BURGOS;BURGOS;09006;BURGOS - RÍO VENA;947 227862;;091321;ASOCIACIÓN DE FAMILIARES DE PERSONAS CON DISCAPACIDAD INTELECTUAL - LAS CALZADAS;;ASOCIACIÓN;silvia.arlanzon@asociacionlascalzadas.org;;PERSONAS CON DISCAPACIDAD;Residencia;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 11;42.34632080000001;-3.686638;SILVIA ARLANZON MERINO;42.34632080000001, -3.686638
RESIDENCIA LAZARILLO DE TORMES;2025-11-13;CALLE LAZARILLO DE TORMES S/Nº;09;09059;BURGOS;BURGOS;09006;BURGOS - GAMONAL I - LAS TORRES;947 414768;;090989;FUNDACIÓN PEPE IGLESIAS;DOMICILIA ALIADOS POR LA INTEGRACIÓN, S.L.;FUNDACIÓN;direccion@asebutra.es;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 65;;;ANDREA GARCIA GUERRERO (por sustitución de SARA SAN JOSÉ);
CENTRO DE DIA DE PERSONAS MAYORES VIRGEN DE LA PEÑA;2023-10-26;PLAZA PLAZUELA S/N;42;42165;SORIA;SAN PEDRO MANRIQUE;42174;TIERRAS ALTAS DE SORIA;975 381172;;420071;ASOCIACION DE JUBILADOS Y PENSIONISTAS VIRGEN DE LA PEÑA;;ASOCIACIÓN;fjypsoria@gmail.com;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;;;ELENA SUBIRÁN MANRIQUE;
CLUB PERSONAS MAYORES DE STA. MARIA DE LAS HOYAS;2021-09-30;CALLE REAL;42;42168;SORIA;SANTA MARIA DE LAS HOYAS;42141;PINARES SUR;975 372301;;420044;ASOCIACION DE TERCERA EDAD DE SANTA MARIA DE LAS HOYAS;;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;41.7708714;-3.1430168;ROSALIA SEBASTIAN;41.7708714, -3.1430168
UNIDAD DE ESTANCIAS DIURNAS LOS SAUCES - LEONOR;2024-03-19;CAMINO ROYALES (LOS) 2;42;42173;SORIA;SORIA;42128;SORIA - ZONA 2 - OESTE;975 231033;;420145;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;SANIVIDA, S.L;ADMINISTRACIÓN AUTONÓMICA;maria.pol@jcyl.es;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 67;;;MARIA JOSE POL RODRIGUEZ;
CENTRO DE DIA PARA PERSONAS MAYORES SORIA I;2022-03-10;PASEO ESPOLON (EL) 2;42;42173;SORIA;SORIA;42001;SORIA - ZONA 2 - OESTE;975 222861;;420061;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;mjosefa.onsurbe@jcyl.es;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;41.7642685;-2.469379;Mª JOSEFA ONSURBE RAMIREZ;41.7642685, -2.469379
HOGAR CALASANZ;2024-10-03;CALLE SAN MARTIN DE FINOJOSA 28;42;42173;SORIA;SORIA;42003;SORIA - ZONA 1 - ESTE;975 221162;975 608306917;420327;FUNDACIÓN ITAKA ESCOLAPIOS;;FUNDACIÓN;hogarcalasanzsoria@itakaescolapios.org;www.itakaescolapios.org;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 9;41.7581078;-2.4678055;JUAN FRANCISCO MORAGA DELGADO;41.7581078, -2.4678055
HOGAR SORIALIZACION;2023-09-27;CARRETERA MADRID 53;42;42173;SORIA;SORIA;42005;SORIA - ZONA 1 - ESTE;618 087272;;420437;FUNDACIÓN SALUD Y COMUNIDAD;;FUNDACIÓN;lmtorres@lagunduz.com;;INFANCIA (Y JUVENTUD);Vivienda;Hogar de socialización;OTROS: 8;41.7531721;-2.4792333;OCTAVIO ROSEL MELENDO;41.7531721, -2.4792333
"RESIDENCIA DE PERSONAS MAYORES ""FUENTE DEL REY""";2022-02-07;CAMINO FUENTE DEL REY (LA) S/N;42;42173;SORIA;SORIA;42004;SORIA - ZONA 2 - OESTE;975 223211;975 225895;420106;LATORRE MARTINEZ NAGIMENSE S.L.;;SOCIEDADES;fuentedelrey@residenciasparamayores.com;www.residenciasparamayores.com;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 130;41.7635982;-2.4649206;EUGENIO LATORRE MARTINEZ;41.7635982, -2.4649206
CLUB DE PERSONAS MAYORES;2020-10-14;CALLE SAN MIGUEL S/N;42;42178;SORIA;TALVEILA;42148;PINARES SUR;975 375429;;420040;ASOCIACION DE TERCERA EDAD DE TALVEILA;;ASOCIACIÓN;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;41.7832624;-2.9671274;MARÍA CLEOFÉ BERZOSA CABREJAS;41.7832624, -2.9671274
RESIDENCIA DE PERSONAS MAYORES NUESTRA SEÑORA DEL ROSARIO;2025-02-10;CALLE IGLESIA (LA) 10;42;42181;SORIA;TARDELCUENDE;42294;SORIA RURAL;975 308331;975 639752758;420059;AYUNTAMIENTO DE TARDELCUENDE;MIMARA ASTURIAS RESIDENCIAL, S.L.U.;ADMINISTRACIÓN LOCAL;notificaciones@grupomimara.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 32;;;ALEJANDRA BIBIAN MARTINEZ;
CLUB DE PERSONAS MAYORES REGAJO;2023-10-27;CALLE REINA SOFIA 38;42;42215;SORIA;VINUESA;42150;PINARES NORTE;659 431576;;420047;ASOCIACION DE LA TERCERA EDAD REGAJO;;ASOCIACIÓN;fjypsoria@gmail.com;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;41.9084519;-2.7637276;LAURA ANTOLIN GONZÁLEZ;41.9084519, -2.7637276
VIVIENDA INTRAS VALLADOLID XXXIV;2023-10-30;CALLE CLAVEL Nº 7 A 2º G;47;47010;VALLADOLID;ARROYO DE LA ENCOMIENDA;47195;VALLADOLID - PAJARILLOS ALTOS;983 399633;;471567;FUNDACION INTRAS;;FUNDACIÓN;gmv@intras.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 1;;;GUSTAVO MARTÍN VILLAREJO;
VIVIENDA HOGAR LOS PINOS;2023-07-17;CALLE ALMENDRO Nº 1;47;47023;VALLADOLID;BOECILLO;47151;CERCANÍAS 1;983 220463;;470990;ASOCIACIÓN MENSAJEROS DE LA PAZ CASTILLA Y LEÓN;;ASOCIACIÓN;;;INFANCIA (Y JUVENTUD);Vivienda;Vivienda hogar;OTROS: 7;41.5444631;-4.704715999999999;SUSANA RODRIGUEZ LOPEZ;41.5444631, -4.704715999999999
RESIDENCIA PERSONAS MAYORES PILAR;2022-01-18;CALLE BODEGAS 65-67-69;47;47023;VALLADOLID;BOECILLO;47151;CERCANÍAS 2;983 552310;;470440;RESIDENCIA TERCERA EDAD PILAR S.L.;;SOCIEDADES;residenciapilar@gmail.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 37;41.5435083;-4.7039367;M. ROSA RODRIGUEZ GONZALEZ;41.5435083, -4.7039367
RESIDENCIA SAN ANTONIO;2021-12-13;CALLE HENAR 9;47;47054;VALLADOLID;COGECES DEL MONTE;47313;PINODUERO;983 485147;;471309;AYUNTAMIENTO DE COGECES DEL MONTE;DOMUS AUREA SERVICIOS PARA EL HOGAR, S. L.;ADMINISTRACIÓN LOCAL;direccion.cogeces@asfa21valladolid;www.asfa21valladolid.com;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 24;41.5089394;-4.3179437;EVA LASO SAEZ;41.5089394, -4.3179437
CENTRO OCUPACIONAL;2025-03-25;CALLE LA PILARICA 3;47;47075;VALLADOLID;ISCAR;47420;ÍSCAR;983 620650;;471187;AYUNTAMIENTO DE ISCAR;;ADMINISTRACIÓN LOCAL;;;PERSONAS CON DISCAPACIDAD;Centro de día;Personas con discapacidad por trastorno del desarrollo intelectual;OTROS: 18;;;ALEJANDRO GARCIA SANZ;
UNIDAD DE ESTANCIAS DIURNAS DEL CENTRO DE DÍA DE LAGUNA DE DUERO;2023-11-02;CALLE CAÑADA ARBOLEDA , 3;47;47076;VALLADOLID;LAGUNA DE DUERO;47140;LAGUNA DE DUERO;983 546271;;470579;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;SANIVIDA, S.L;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 15;41.5804041;-4.7187861;CARMEN FRAILE PEREZ;41.5804041, -4.7187861
